RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$51,915,615"
2,"Kevin Durant, PF",Phoenix Suns,"$47,649,433"
3,"LeBron James, SF",Los Angeles Lakers,"$47,607,350"
4,"Nikola Jokic, C",Denver Nuggets,"$47,607,350"
5,"Joel Embiid, C",Philadelphia 76ers,"$46,900,000"
6,"Bradley Beal, SG",Phoenix Suns,"$46,741,590"
7,"Damian Lillard, PG",Portland Trail Blazers,"$45,640,084"
8,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$45,640,084"
9,"Kawhi Leonard, SF",LA Clippers,"$45,640,084"
10,"Paul George, F",LA Clippers,"$45,640,084"
11,"Jimmy Butler, SF",Miami Heat,"$45,183,960"
12,"Klay Thompson, SG",Golden State Warriors,"$43,219,440"
13,"Rudy Gobert, C",Minnesota Timberwolves,"$41,000,000"
14,"Fred VanVleet, SG",Houston Rockets,"$40,806,300"
15,"Anthony Davis, PF",Los Angeles Lakers,"$40,600,080"
16,"Luka Doncic, PG",Dallas Mavericks,"$40,064,220"
17,"Zach LaVine, SG",Chicago Bulls,"$40,064,220"
18,"Trae Young, PG",Atlanta Hawks,"$40,064,220"
19,"Tobias Harris, PF",Philadelphia 76ers,"$39,270,150"
20,"Pascal Siakam, PF",Toronto Raptors,"$37,893,408"
21,"Ben Simmons, PG",Brooklyn Nets,"$37,893,408"
22,"Kyrie Irving, PG",Dallas Mavericks,"$37,037,037"
23,"Jrue Holiday, PG",Milwaukee Bucks,"$36,861,707"
24,"Devin Booker, SG",Phoenix Suns,"$36,016,200"
25,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$36,016,200"
26,"Kristaps Porzingis, C",Boston Celtics,"$36,016,200"
27,"CJ McCollum, SG",New Orleans Pelicans,"$35,802,469"
28,"James Harden, SG",Philadelphia 76ers,"$35,640,000"
29,"Ja Morant, PG",Memphis Grizzlies,"$34,005,250"
30,"Darius Garland, PG",Cleveland Cavaliers,"$34,005,250"
31,"Zion Williamson, PF",New Orleans Pelicans,"$34,005,250"
32,"Jamal Murray, PG",Denver Nuggets,"$33,833,400"
33,"Brandon Ingram, SF",New Orleans Pelicans,"$33,833,400"
34,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$33,386,850"
35,"Michael Porter Jr., SF",Denver Nuggets,"$33,386,850"
36,"Donovan Mitchell, SG",Cleveland Cavaliers,"$33,162,030"
37,"De'Aaron Fox, PG",Sacramento Kings,"$32,600,060"
38,"Bam Adebayo, C",Miami Heat,"$32,600,060"
39,"Jayson Tatum, SF",Boston Celtics,"$32,600,060"
40,"Deandre Ayton, C",Phoenix Suns,"$32,459,438"
